date,measuring_station,traffic,avg_time_on_street
2025-05-02,ZUERICH HARDTURM (AB),32.136483704359236,61.464177008079105
2025-05-03,ZUERICH HARDTURM (AB),31.81026256707374,41.32253546651381
2025-05-04,ZUERICH HARDTURM (AB),25.998647225696658,45.14459312816598
2025-05-05,ZUERICH HARDTURM (AB),39.78754841031422,62.07000067634297
2025-05-06,ZUERICH HARDTURM (AB),33.6534100221303,56.42589189988837
2025-05-07,ZUERICH HARDTURM (AB),34.81789454904779,62.76954947771561
2025-05-08,ZUERICH HARDTURM (AB),33.232534364529734,57.742888723359634
2025-05-09,ZUERICH HARDTURM (AB),33.865486264477866,55.23421784023102
2025-05-10,ZUERICH HARDTURM (AB),30.451830317449822,44.89783938606297
2025-05-11,ZUERICH HARDTURM (AB),21.960851175059165,41.73840165061116
2025-05-12,ZUERICH HARDTURM (AB),28.522593340742556,57.15994898069347
2025-05-13,ZUERICH HARDTURM (AB),32.57464552479391,58.60951760254336
2025-05-14,ZUERICH HARDTURM (AB),31.31193769365834,55.27711632294702
2025-05-15,ZUERICH HARDTURM (AB),27.858665029414283,58.75840391796932
2025-05-16,ZUERICH HARDTURM (AB),29.4182121992339,61.0905691486676
2025-05-17,ZUERICH HARDTURM (AB),27.44940958449572,44.12095034846215
2025-05-18,ZUERICH HARDTURM (AB),28.52076366712749,46.69490747147074
2025-05-19,ZUERICH HARDTURM (AB),27.23200366894973,64.64881942258721
2025-05-20,ZUERICH HARDTURM (AB),37.835897524781664,62.0218843438696
2025-05-21,ZUERICH HARDTURM (AB),34.808755122737836,60.491970233112895
2025-05-22,ZUERICH HARDTURM (AB),33.132806488429054,57.07581376648797
2025-05-23,ZUERICH HARDTURM (AB),30.515232442706033,64.85183040449608
2025-05-24,ZUERICH HARDTURM (AB),29.182640306591768,41.31734222331416
2025-05-25,ZUERICH HARDTURM (AB),23.3774572126273,40.49286534055225
2025-05-26,ZUERICH HARDTURM (AB),32.57371656823049,58.623087764244836
2025-05-27,ZUERICH HARDTURM (AB),28.78414713824572,62.900057949061264
2025-05-28,ZUERICH HARDTURM (AB),31.373253894014443,60.84713649018863
2025-05-29,ZUERICH HARDTURM (AB),34.674827481406275,56.87513843949836
2025-05-30,ZUERICH HARDTURM (AB),29.97227227653468,64.29871480497293
2025-05-31,ZUERICH HARDTURM (AB),36.41953056521556,49.93061255619163
2025-06-01,ZUERICH BRUNAU (AB),47.287521083357284,40.0432134405399
2025-06-02,ZUERICH BRUNAU (AB),55.56571534334811,57.330723813264115
2025-06-03,ZUERICH BRUNAU (AB),66.05842566472506,62.62148682012289
2025-06-04,ZUERICH BRUNAU (AB),62.348652749673406,56.475632753306954
2025-06-05,ZUERICH BRUNAU (AB),62.445230014510955,56.87580998509297
2025-06-06,ZUERICH BRUNAU (AB),62.759037684679214,63.36126212254192
2025-06-07,ZUERICH BRUNAU (AB),59.6306037404924,43.4321473226509
2025-06-08,ZUERICH BRUNAU (AB),41.591275686943796,49.83571685223551
2025-06-09,ZUERICH BRUNAU (AB),56.21370320056138,56.87312496603771
2025-06-10,ZUERICH BRUNAU (AB),66.85656539151161,63.91377213978976
2025-06-11,ZUERICH BRUNAU (AB),63.609045381095044,59.61115147684876
2025-06-12,ZUERICH BRUNAU (AB),52.76593282805905,58.1057616665262
2025-06-13,ZUERICH BRUNAU (AB),64.45398274999471,57.09033768208548
2025-06-14,ZUERICH BRUNAU (AB),60.48744341292338,45.32234613836786
2025-06-15,ZUERICH BRUNAU (AB),45.86110895843792,43.17347677466903
2025-06-16,ZUERICH BRUNAU (AB),57.74066684546528,62.45375311713904
2025-06-17,ZUERICH BRUNAU (AB),56.971579657972775,64.99811288644868
2025-06-18,ZUERICH BRUNAU (AB),62.685329892679974,62.373251815479605
2025-06-19,ZUERICH BRUNAU (AB),57.62135873818433,60.30716619615647
2025-06-20,ZUERICH BRUNAU (AB),65.62964531752966,60.893867482231684
2025-06-21,ZUERICH BRUNAU (AB),61.954378767513774,43.014760219738285
2025-06-22,ZUERICH BRUNAU (AB),52.65533322338159,43.752496444172934
2025-06-23,ZUERICH BRUNAU (AB),62.22837047062311,62.04691847352006
2025-06-24,ZUERICH BRUNAU (AB),57.547499369999436,63.80671263685037
2025-06-25,ZUERICH BRUNAU (AB),64.49257659770115,60.07539295631677
2025-06-26,ZUERICH BRUNAU (AB),61.01725055170013,64.2161483101263
2025-06-27,ZUERICH BRUNAU (AB),53.108731827126164,61.159800331665636
2025-06-28,ZUERICH BRUNAU (AB),62.17361373113197,46.70284792974921
2025-06-29,ZUERICH BRUNAU (AB),48.408130996587495,43.518215026082935
2025-06-30,ZUERICH BRUNAU (AB),60.71655660338894,63.36158348805547
